track_id,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time
27,37.979592,23.735941,30.9864,-0.022,0.0048,0.04,37.979587,23.735945,30.9806,-0.0191,0.0062,0.08,37.979584,23.735947,30.978,-0.0178,0.007,0.12,37.979582,23.73595,30.9757,-0.013,0.0077,0.16,37.979579,23.735952,30.9744,-0.0049,0.0084,0.2,37.979576,23.735954,30.9745,0.0057,0.0091,0.24,37.979574,23.735956,30.9759,0.014,0.0099,0.28
28,37.979758,23.735767,36.7325,0.2051,-0.0693,0.04,37.979752,23.735772,36.7861,0.1778,-0.0912,0.08,37.979748,23.735774,36.8108,0.1656,-0.1023,0.12,37.979745,23.735776,36.8315,0.1216,-0.1135,0.16,37.979742,23.735779,36.8435,0.0456,-0.1248,0.2,37.979739,23.735781,36.843,-0.0532,-0.1362,0.24,37.979736,23.735784,36.8297,-0.1307,-0.1477,0.28
29,37.979771,23.735778,42.3985,-0.0494,0.003,0.04,37.979764,23.735784,42.3856,-0.0428,0.0039,0.08,37.97976,23.735787,42.3797,-0.0399,0.0043,0.12,37.979757,23.73579,42.3747,-0.0293,0.0048,0.16,37.979753,23.735793,42.3718,-0.011,0.0052,0.2,37.97975,23.735796,42.3719,0.0128,0.0057,0.24,37.979746,23.735799,42.3751,0.0315,0.0061,0.28
30,37.979791,23.735775,57.1184,0.2647,0.1003,0.04,37.979782,23.735783,57.1876,0.2294,0.1319,0.08,37.979777,23.735787,57.2195,0.2137,0.148,0.12,37.979772,23.735791,57.2461,0.1568,0.1642,0.16,37.979768,23.735795,57.2617,0.0588,0.1806,0.2,37.979763,23.735799,57.2609,-0.0687,0.1971,0.24,37.979758,23.735803,57.2439,-0.1686,0.2138,0.28
31,37.979878,23.735707,35.892,-0.0474,-0.0038,0.04,37.979872,23.735712,35.8796,-0.0411,-0.0049,0.08,37.979869,23.735714,35.8739,-0.0383,-0.0055,0.12,37.979866,23.735717,35.8691,-0.0281,-0.0061,0.16,37.979863,23.735719,35.8663,-0.0105,-0.0067,0.2,37.97986,23.735721,35.8664,0.0123,-0.0072,0.24,37.979857,23.735724,35.8695,0.0302,-0.0078,0.28
32,37.979949,23.735613,29.3152,-0.179,-0.0253,0.04,37.979944,23.735617,29.2684,-0.1552,-0.0329,0.08,37.979941,23.735619,29.2469,-0.1446,-0.0366,0.12,37.979939,23.735621,29.2288,-0.1061,-0.0403,0.16,37.979936,23.735623,29.2183,-0.0398,-0.044,0.2,37.979934,23.735625,29.2188,0.0464,-0.0476,0.24,37.979931,23.735627,29.2303,0.1141,-0.0512,0.28
33,37.980003,23.735585,38.69,-0.1719,0.0525,0.04,37.979996,23.73559,38.6451,-0.1489,0.0681,0.08,37.979993,23.735593,38.6244,-0.1388,0.0758,0.12,37.97999,23.735596,38.6071,-0.1018,0.0834,0.16,37.979987,23.735599,38.597,-0.0382,0.0908,0.2,37.979984,23.735602,38.5975,0.0446,0.0982,0.24,37.97998,23.735605,38.6086,0.1095,0.1056,0.28
34,37.980049,23.735569,27.8645,-0.1613,-0.0157,0.04,37.980044,23.735573,27.8224,-0.1398,-0.0204,0.08,37.980042,23.735575,27.8029,-0.1303,-0.0227,0.12,37.980039,23.735576,27.7867,-0.0956,-0.025,0.16,37.980037,23.735578,27.7772,-0.0358,-0.0273,0.2,37.980035,23.73558,27.7776,0.0418,-0.0296,0.24,37.980032,23.735582,27.788,0.1028,-0.0318,0.28
35,37.980128,23.735504,27.7363,-0.0973,0.0208,0.04,37.980124,23.735508,27.7109,-0.0843,0.0272,0.08,37.980121,23.73551,27.6991,-0.0785,0.0303,0.12,37.980119,23.735512,27.6893,-0.0576,0.0334,0.16,37.980117,23.735514,27.6836,-0.0216,0.0365,0.2,37.980114,23.735516,27.6839,0.0252,0.0396,0.24,37.980112,23.735518,27.6902,0.062,0.0427,0.28
36,37.980108,23.735478,30.34,-0.1984,0.0549,0.04,37.980103,23.735482,30.2882,-0.1719,0.0711,0.08,37.980101,23.735485,30.2643,-0.1602,0.0791,0.12,37.980098,23.735487,30.2443,-0.1176,0.087,0.16,37.980096,23.735489,30.2326,-0.0441,0.0948,0.2,37.980093,23.735491,30.2332,0.0515,0.1025,0.24,37.980091,23.735493,30.246,0.1264,0.1101,0.28
